vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.0_0.25  	4.0_12.0	0.9	0.5	13	206	4555	11	5	6	0.542	0.957	0.955	0.499	0.059	0.542	0.106	0.941
0.25_0.5  	4.0_12.0	0.9	0.5	16	21	1500	0	0	0	1.0	0.986	0.986	0.986	0.432	1.0	0.603	0.568
0.5_1.0   	4.0_12.0	0.9	0.5	24	0	765	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
1.0_5.0   	4.0_12.0	0.9	0.5	50	3	297	0	0	0	1.0	0.99	0.991	0.99	0.943	1.0	0.971	0.057
5.0_100.0 	4.0_12.0	0.9	0.5	18	0	12	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0_0.25  	8.0_12.0	0.9	0.5	10	114	2892	9	4	5	0.526	0.962	0.959	0.488	0.081	0.526	0.14	0.919
0.25_0.5  	8.0_12.0	0.9	0.5	15	14	962	0	0	0	1.0	0.986	0.986	0.986	0.517	1.0	0.682	0.483
0.5_1.0   	8.0_12.0	0.9	0.5	23	0	423	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
1.0_5.0   	8.0_12.0	0.9	0.5	47	3	173	0	0	0	1.0	0.983	0.987	0.983	0.94	1.0	0.969	0.06
5.0_100.0 	8.0_12.0	0.9	0.5	16	0	2	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0_0.25  	12.0_12.0	0.9	0.5	5	48	1368	4	2	2	0.556	0.966	0.964	0.522	0.094	0.556	0.161	0.906
0.25_0.5  	12.0_12.0	0.9	0.5	10	9	439	0	0	0	1.0	0.98	0.98	0.98	0.526	1.0	0.689	0.474
0.5_1.0   	12.0_12.0	0.9	0.5	11	0	160	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
1.0_5.0   	12.0_12.0	0.9	0.5	22	3	85	0	0	0	1.0	0.966	0.973	0.966	0.88	1.0	0.936	0.12
5.0_100.0 	12.0_12.0	0.9	0.5	8	0	0	0	0	0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
