vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125 	4.0_16.0	0.9	0.5	6	1041	10451	6	6	0	0.5	0.909	0.909	0.409	0.006	0.5	0.012	0.994
0.1_0.125 	8.0_16.0	0.9	0.5	5	713	6810	3	3	0	0.625	0.905	0.905	0.53	0.007	0.625	0.014	0.993
0.25      	4.0_16.0	0.9	0.5	6	39	1483	6	3	3	0.5	0.974	0.971	0.474	0.133	0.5	0.21	0.867
0.25      	8.0_16.0	0.9	0.5	5	17	852	3	1	2	0.625	0.98	0.977	0.605	0.227	0.625	0.333	0.773
0.5       	4.0_16.0	0.9	0.5	20	2	422	4	1	3	0.833	0.995	0.987	0.828	0.909	0.833	0.869	0.091
0.5       	8.0_16.0	0.9	0.5	14	0	209	2	0	2	0.875	1.0	0.991	0.875	1.0	0.875	0.933	0.0
0.7_0.75  	4.0_16.0	0.9	0.5	10	0	78	2	0	2	0.833	1.0	0.978	0.833	1.0	0.833	0.909	0.0
0.7_0.75  	8.0_16.0	0.9	0.5	7	0	39	1	0	1	0.875	1.0	0.979	0.875	1.0	0.875	0.933	0.0
1.0       	4.0_16.0	0.9	0.5	11	0	45	1	0	1	0.917	1.0	0.982	0.917	1.0	0.917	0.957	0.0
1.0       	8.0_16.0	0.9	0.5	7	0	20	1	0	1	0.875	1.0	0.964	0.875	1.0	0.875	0.933	0.0
