vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125 	4.0_16.0	0.9	0.5	31	62	1615	23	19	4	0.574	0.963	0.951	0.537	0.333	0.574	0.421	0.667
0.1_0.125 	8.0_16.0	0.9	0.5	24	37	907	12	10	2	0.667	0.961	0.95	0.628	0.393	0.667	0.495	0.607
0.25      	4.0_16.0	0.9	0.5	31	92	2149	23	16	7	0.574	0.959	0.95	0.533	0.252	0.574	0.35	0.748
0.25      	8.0_16.0	0.9	0.5	23	52	1164	13	8	5	0.639	0.957	0.948	0.596	0.307	0.639	0.415	0.693
0.375     	4.0_16.0	0.9	0.5	37	4	335	17	11	6	0.685	0.988	0.947	0.673	0.902	0.685	0.779	0.098
0.375     	8.0_16.0	0.9	0.5	26	1	182	10	7	3	0.722	0.995	0.95	0.717	0.963	0.722	0.825	0.037
0.5       	4.0_16.0	0.9	0.5	40	1	242	14	10	4	0.741	0.996	0.949	0.737	0.976	0.741	0.842	0.024
0.5       	8.0_16.0	0.9	0.5	28	0	138	8	6	2	0.778	1.0	0.954	0.778	1.0	0.778	0.875	0.0
0.7_0.75  	4.0_16.0	0.9	0.5	41	2	137	13	9	4	0.759	0.986	0.922	0.745	0.953	0.759	0.845	0.047
0.7_0.75  	8.0_16.0	0.9	0.5	28	1	70	8	6	2	0.778	0.986	0.916	0.764	0.966	0.778	0.862	0.034
1.0       	4.0_16.0	0.9	0.5	43	1	63	11	9	2	0.796	0.984	0.898	0.78	0.977	0.796	0.877	0.023
1.0       	8.0_16.0	0.9	0.5	29	1	35	7	6	1	0.806	0.972	0.889	0.778	0.967	0.806	0.879	0.033
