vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125 	4.0_16.0	0.9	0.5	37	1101	12053	29	25	4	0.561	0.916	0.915	0.477	0.033	0.561	0.062	0.967
0.1_0.125 	8.0_16.0	0.9	0.5	29	748	7711	15	13	2	0.659	0.912	0.91	0.571	0.037	0.659	0.07	0.963
0.25      	4.0_16.0	0.9	0.5	37	134	3638	29	19	10	0.561	0.964	0.958	0.525	0.216	0.561	0.312	0.784
0.25      	8.0_16.0	0.9	0.5	28	71	2022	16	9	7	0.636	0.966	0.959	0.602	0.283	0.636	0.392	0.717
0.375     	4.0_16.0	0.9	0.5	37	9	339	17	11	6	0.685	0.974	0.935	0.659	0.804	0.685	0.74	0.196
0.375     	8.0_16.0	0.9	0.5	26	3	186	10	7	3	0.722	0.984	0.942	0.706	0.897	0.722	0.8	0.103
0.5       	4.0_16.0	0.9	0.5	60	10	677	18	11	7	0.769	0.985	0.963	0.754	0.857	0.769	0.811	0.143
0.5       	8.0_16.0	0.9	0.5	42	5	355	10	6	4	0.808	0.986	0.964	0.794	0.894	0.808	0.849	0.106
0.7_0.75  	4.0_16.0	0.9	0.5	51	10	217	15	9	6	0.773	0.956	0.915	0.729	0.836	0.773	0.803	0.164
0.7_0.75  	8.0_16.0	0.9	0.5	35	6	111	9	6	3	0.795	0.949	0.907	0.744	0.854	0.795	0.823	0.146
1.0       	4.0_16.0	0.9	0.5	54	10	108	12	9	3	0.818	0.915	0.88	0.733	0.844	0.818	0.831	0.156
1.0       	8.0_16.0	0.9	0.5	36	7	55	8	6	2	0.818	0.887	0.858	0.705	0.837	0.818	0.827	0.163
