vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125 	4.0_64.0	0.8	0.0	37	1259	13837	29	25	4	0.561	0.917	0.915	0.478	0.029	0.561	0.055	0.971
0.1_0.125 	8.0_64.0	0.8	0.0	29	858	8876	15	13	2	0.659	0.912	0.911	0.571	0.033	0.659	0.063	0.967
0.25      	4.0_64.0	0.8	0.0	38	186	4339	28	19	9	0.576	0.959	0.953	0.535	0.17	0.576	0.263	0.83
0.25      	8.0_64.0	0.8	0.0	29	100	2489	15	9	6	0.659	0.961	0.956	0.62	0.225	0.659	0.335	0.775
0.375     	4.0_64.0	0.8	0.0	37	13	425	17	11	6	0.685	0.97	0.939	0.655	0.74	0.685	0.711	0.26
0.375     	8.0_64.0	0.8	0.0	26	6	241	10	7	3	0.722	0.976	0.943	0.698	0.812	0.722	0.764	0.188
0.5       	4.0_64.0	0.8	0.0	60	13	785	18	11	7	0.769	0.984	0.965	0.753	0.822	0.769	0.795	0.178
0.5       	8.0_64.0	0.8	0.0	42	7	424	10	6	4	0.808	0.984	0.965	0.792	0.857	0.808	0.832	0.143
0.7_0.75  	4.0_64.0	0.8	0.0	51	10	262	15	9	6	0.773	0.963	0.926	0.736	0.836	0.773	0.803	0.164
0.7_0.75  	8.0_64.0	0.8	0.0	35	6	140	9	6	3	0.795	0.959	0.921	0.754	0.854	0.795	0.823	0.146
1.0       	4.0_64.0	0.8	0.0	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
1.0       	8.0_64.0	0.8	0.0	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	0.8	0.1	37	1201	13895	29	25	4	0.561	0.92	0.919	0.481	0.03	0.561	0.057	0.97
0.1_0.125 	8.0_64.0	0.8	0.1	29	816	8918	15	13	2	0.659	0.916	0.915	0.575	0.034	0.659	0.065	0.966
0.25      	4.0_64.0	0.8	0.1	36	166	4359	30	19	11	0.545	0.963	0.957	0.508	0.178	0.545	0.268	0.822
0.25      	8.0_64.0	0.8	0.1	27	88	2501	17	9	8	0.614	0.966	0.96	0.58	0.235	0.614	0.34	0.765
0.375     	4.0_64.0	0.8	0.1	37	12	426	17	11	6	0.685	0.973	0.941	0.658	0.755	0.685	0.718	0.245
0.375     	8.0_64.0	0.8	0.1	26	5	242	10	7	3	0.722	0.98	0.947	0.702	0.839	0.722	0.776	0.161
0.5       	4.0_64.0	0.8	0.1	60	11	787	18	11	7	0.769	0.986	0.967	0.755	0.845	0.769	0.805	0.155
0.5       	8.0_64.0	0.8	0.1	42	6	425	10	6	4	0.808	0.986	0.967	0.794	0.875	0.808	0.84	0.125
0.7_0.75  	4.0_64.0	0.8	0.1	50	10	262	16	9	7	0.758	0.963	0.923	0.721	0.833	0.758	0.794	0.167
0.7_0.75  	8.0_64.0	0.8	0.1	34	6	140	10	6	4	0.773	0.959	0.916	0.732	0.85	0.773	0.81	0.15
1.0       	4.0_64.0	0.8	0.1	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
1.0       	8.0_64.0	0.8	0.1	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	0.8	0.2	37	1143	13953	29	25	4	0.561	0.924	0.923	0.485	0.031	0.561	0.059	0.969
0.1_0.125 	8.0_64.0	0.8	0.2	29	775	8959	15	13	2	0.659	0.92	0.919	0.579	0.036	0.659	0.068	0.964
0.25      	4.0_64.0	0.8	0.2	36	150	4375	30	19	11	0.545	0.967	0.961	0.512	0.194	0.545	0.286	0.806
0.25      	8.0_64.0	0.8	0.2	27	79	2510	17	9	8	0.614	0.969	0.964	0.583	0.255	0.614	0.36	0.745
0.375     	4.0_64.0	0.8	0.2	37	10	428	17	11	6	0.685	0.977	0.945	0.662	0.787	0.685	0.732	0.213
0.375     	8.0_64.0	0.8	0.2	26	3	244	10	7	3	0.722	0.988	0.954	0.71	0.897	0.722	0.8	0.103
0.5       	4.0_64.0	0.8	0.2	60	11	787	18	11	7	0.769	0.986	0.967	0.755	0.845	0.769	0.805	0.155
0.5       	8.0_64.0	0.8	0.2	42	6	425	10	6	4	0.808	0.986	0.967	0.794	0.875	0.808	0.84	0.125
0.7_0.75  	4.0_64.0	0.8	0.2	50	10	262	16	9	7	0.758	0.963	0.923	0.721	0.833	0.758	0.794	0.167
0.7_0.75  	8.0_64.0	0.8	0.2	34	6	140	10	6	4	0.773	0.959	0.916	0.732	0.85	0.773	0.81	0.15
1.0       	4.0_64.0	0.8	0.2	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
1.0       	8.0_64.0	0.8	0.2	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	0.8	0.3	37	1100	13996	29	25	4	0.561	0.927	0.926	0.488	0.033	0.561	0.062	0.967
0.1_0.125 	8.0_64.0	0.8	0.3	29	738	8996	15	13	2	0.659	0.924	0.923	0.583	0.038	0.659	0.072	0.962
0.25      	4.0_64.0	0.8	0.3	35	135	4390	31	19	12	0.53	0.97	0.964	0.5	0.206	0.53	0.297	0.794
0.25      	8.0_64.0	0.8	0.3	26	71	2518	18	9	9	0.591	0.973	0.966	0.564	0.268	0.591	0.369	0.732
0.375     	4.0_64.0	0.8	0.3	37	9	429	17	11	6	0.685	0.979	0.947	0.664	0.804	0.685	0.74	0.196
0.375     	8.0_64.0	0.8	0.3	26	3	244	10	7	3	0.722	0.988	0.954	0.71	0.897	0.722	0.8	0.103
0.5       	4.0_64.0	0.8	0.3	60	9	789	18	11	7	0.769	0.989	0.969	0.758	0.87	0.769	0.816	0.13
0.5       	8.0_64.0	0.8	0.3	42	4	427	10	6	4	0.808	0.991	0.971	0.799	0.913	0.808	0.857	0.087
0.7_0.75  	4.0_64.0	0.8	0.3	50	9	263	16	9	7	0.758	0.967	0.926	0.725	0.847	0.758	0.8	0.153
0.7_0.75  	8.0_64.0	0.8	0.3	34	6	140	10	6	4	0.773	0.959	0.916	0.732	0.85	0.773	0.81	0.15
1.0       	4.0_64.0	0.8	0.3	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
1.0       	8.0_64.0	0.8	0.3	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	0.8	0.4	37	1039	14057	29	25	4	0.561	0.931	0.93	0.492	0.034	0.561	0.064	0.966
